City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Sinjar,IQ,76.28,clear sky,36.3209,41.8754,زوماني فون 1
296,Yushu,CN,75.25,overcast clouds,44.8,126.5333,Honorable Institute
298,Vao,NC,73.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
300,Toledo,ES,78.08,broken clouds,39.8333,-4.0,Hotel Carlos V Toledo
303,Soverato,IT,69.75,clear sky,38.685,16.5499,Hotel San Domenico
305,Puerto Ayora,EC,72.93,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
310,La Ronge,CA,79.05,few clouds,55.1001,-105.2842,Northland Motor Hotel
311,Naryan-Mar,RU,69.46,few clouds,67.6713,53.087,Hostel Agat
312,Gombe,NG,78.69,overcast clouds,10.2897,11.1673,Shinani Lodge
314,Zhanakorgan,KZ,72.86,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
316,Conakry,GN,75.54,moderate rain,9.538,-13.6773,Riviera Royal Hotel
317,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
321,Port-Gentil,GA,77.14,broken clouds,-0.7193,8.7815,Fengshui Residence
325,Abengourou,CI,72.05,broken clouds,6.7297,-3.4964,Hotel des Princes
329,Shache,CN,74.1,overcast clouds,38.4167,77.2406,Delong Hotel
330,Gulbarga,IN,76.42,light rain,17.3333,76.8333,Kamat Hotel
332,Grand-Santi,GF,72.46,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
335,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
341,Abonnema,NG,76.41,light rain,4.7084,6.7931,Corper's Lodge Obonoma
343,Surt,LY,70.52,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
349,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
354,Meulaboh,ID,79.5,overcast clouds,4.1363,96.1285,Kost Pria
355,Soller,ES,75.04,scattered clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
361,Birjand,IR,77.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
363,Pilar,BR,73.33,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
374,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
375,Gubkinskiy,RU,72.59,overcast clouds,64.434,76.5026,MonarcH
378,Save,BJ,75.31,scattered clouds,8.0425,2.486,Restaurant Plazza Hotel
388,Kijang,KR,78.53,overcast clouds,35.2442,129.2139,Samyang Beach Villa
390,Cambridge,CA,73.89,clear sky,43.3601,-80.3127,Cambridge Gateway Suites
393,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
395,Terre-De-Bas,GP,78.31,overcast clouds,15.8501,-61.6442,Hôtel Bois Joli
396,Chester,US,70.77,broken clouds,40.1254,-75.8749,"Holiday Inn Morgantown - Reading Area, an IHG Hotel"
400,Roma,US,73.54,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
405,Tarakan,ID,79.41,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
407,Ryotsu,JP,69.76,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
408,Bemidji,US,79.09,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
414,Lawrenceburg,US,79.52,clear sky,38.0373,-84.8966,Best Western Lawrenceburg Inn
419,Belmonte,BR,73.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
422,Suntar,RU,69.62,overcast clouds,62.1444,117.6319,Дом у Мамы
424,Kerman,IR,73.26,clear sky,30.2832,57.0788,هتل آپارتمان آسام
426,Towada,JP,76.68,broken clouds,40.6127,141.2067,Hotel Route-Inn Towada
428,Thongwa,MM,78.96,moderate rain,16.7619,96.5278,U Poe Sann
436,Sao Felix Do Xingu,BR,74.88,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
444,Port-De-Bouc,FR,76.24,clear sky,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
451,Loa Janan,ID,76.87,overcast clouds,-0.583,117.095,Pondok hijau 2A
453,Moa,CU,78.71,overcast clouds,20.6569,-74.9403,Carmen
458,Nicoya,CR,74.75,light rain,10.1483,-85.452,Guayacan Real
459,Broome,US,73.98,clear sky,42.2506,-75.833,Chenango Valley State Park
465,Siena,IT,69.48,clear sky,43.2167,11.4,More Di Cuna
468,Hobyo,SO,76.64,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
472,Namibe,AO,70.72,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
476,Fortuna,US,70.48,light rain,40.5982,-124.1573,Super 8 by Wyndham Fortuna
483,San Carlos,VE,74.77,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
488,Naze,JP,74.32,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
491,Itarema,BR,78.04,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
496,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
497,Nouakchott,MR,71.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
508,Baghdad,IQ,75.11,clear sky,33.3406,44.4009,Baghdad Hotel
509,Natal,BR,75.85,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
516,Kisangani,CD,71.24,overcast clouds,0.5167,25.2,Grand Ramela Hotel
521,Traverse City,US,70.54,overcast clouds,44.7631,-85.6206,Bayshore Resort
533,Codajas,BR,74.57,scattered clouds,-3.8367,-62.0569,Hotel Tamires
543,Salinopolis,BR,78.21,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
545,Kenora,CA,75.18,few clouds,49.8167,-94.4337,Maynard Lake Lodge
548,Korhogo,CI,76.14,scattered clouds,9.45,-5.6333,Hôtel Tchinbota
