City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Wewak,PG,2021-06-07 22:33:48,-3.5534,143.6268,299.77,86,96,2.27
68,Norman Wells,CA,2021-06-07 22:33:49,65.282,-126.8329,287.17,33,75,3.09
69,Hithadhoo,MV,2021-06-07 22:33:49,-0.6,73.0833,301.5,69,38,5.55
70,Hualmay,PE,2021-06-07 22:33:50,-11.0964,-77.6139,291.59,80,20,4.25
71,Guerrero Negro,MX,2021-06-07 22:29:11,27.9769,-114.0611,294.0,57,97,7.72
72,Chuy,UY,2021-06-07 22:33:50,-33.6971,-53.4616,286.08,85,56,4.11
73,Valguarnera Caropepe,IT,2021-06-07 22:33:50,37.4955,14.3888,292.21,72,0,2.33
74,Makungu,TZ,2021-06-07 22:33:51,-8.7333,35.2833,287.22,85,86,1.47
75,Buraydah,SA,2021-06-07 22:33:51,26.326,43.975,306.4,13,1,3.7
76,Howard Springs,AU,2021-06-07 22:33:52,-12.497,131.047,296.41,95,90,2.05
77,Dikson,RU,2021-06-07 22:33:52,73.5069,80.5464,272.46,94,100,5.01
78,Zhigansk,RU,2021-06-07 22:33:52,66.7697,123.3711,282.94,55,36,6.4
79,San Cristobal,VE,2021-06-07 22:33:53,7.7669,-72.225,298.25,82,75,0.81
80,Puerto Ayora,EC,2021-06-07 22:31:13,-0.7393,-90.3518,302.13,85,91,2.24
81,Ruidoso,US,2021-06-07 22:33:53,33.3317,-105.673,304.07,9,1,1.34
82,Sombrerete,MX,2021-06-07 22:33:54,23.6333,-103.65,301.59,15,89,5.34
83,Nanortalik,GL,2021-06-07 22:33:54,60.1432,-45.2371,279.37,77,100,1.21
84,Ahipara,NZ,2021-06-07 22:33:54,-35.1667,173.1667,288.47,85,100,7.14
85,Saint-Francois,FR,2021-06-07 22:33:55,46.4154,3.9054,288.97,91,0,0.0
86,Porto Novo,BJ,2021-06-07 22:33:55,6.4965,2.6036,299.03,81,68,2.67
87,Mildura,AU,2021-06-07 22:31:54,-34.2,142.15,281.13,100,45,2.57
88,Sinnamary,GF,2021-06-07 22:33:56,5.3833,-52.95,298.49,90,97,4.65
89,Ceres,US,2021-06-07 22:33:56,37.5949,-120.9577,304.33,23,1,5.66
90,Bengkulu,ID,2021-06-07 22:33:57,-3.8004,102.2655,296.44,87,33,1.61
91,Aklavik,CA,2021-06-07 22:33:57,68.2191,-135.0107,287.55,39,77,2.17
92,Hovd,MN,2021-06-07 22:33:57,48.0056,91.6419,284.14,33,8,0.01
93,Carnarvon,AU,2021-06-07 22:33:58,-24.8667,113.6333,291.19,63,90,5.14
94,Bathsheba,BB,2021-06-07 22:33:58,13.2167,-59.5167,300.49,69,40,9.19
95,Kaitangata,NZ,2021-06-07 22:33:59,-46.2817,169.8464,284.22,86,2,1.23
96,Mandalgovi,MN,2021-06-07 22:33:59,45.7625,106.2708,278.98,68,58,6.71
97,Rincon De La Victoria,ES,2021-06-07 22:33:59,36.7172,-4.2758,297.79,65,1,1.27
98,Cidreira,BR,2021-06-07 22:34:00,-30.1811,-50.2056,289.9,85,100,6.7
99,Port Alfred,ZA,2021-06-07 22:34:00,-33.5906,26.891,291.66,46,1,4.63
100,Pacific Grove,US,2021-06-07 22:31:40,36.6177,-121.9166,297.68,68,1,3.13
101,Ribeira Grande,PT,2021-06-07 22:34:01,38.5167,-28.7,292.21,93,99,5.45
102,Jutai,BR,2021-06-07 22:34:01,-5.1833,-68.9,296.97,95,67,1.31
103,Russell,US,2021-06-07 22:30:51,32.3502,-85.1999,299.15,83,40,2.95
104,Rudbar,AF,2021-06-07 22:34:02,30.15,62.6,305.97,16,0,5.16
105,Kavieng,PG,2021-06-07 22:34:02,-2.5744,150.7967,301.1,78,99,3.26
106,Sur,OM,2021-06-07 22:34:03,22.5667,59.5289,302.21,75,0,5.68
107,Port Lincoln,AU,2021-06-07 22:34:03,-34.7333,135.8667,283.81,66,91,9.55
108,Padang,ID,2021-06-07 22:31:19,-0.9492,100.3543,297.53,80,100,1.46
109,Cayenne,GF,2021-06-07 22:34:04,4.9333,-52.3333,299.87,86,75,3.13
110,Vidisha,IN,2021-06-07 22:34:04,23.5333,77.8167,301.78,61,46,5.64
111,Udachnyy,RU,2021-06-07 22:34:04,66.4167,112.4,280.54,52,17,1.28
112,Kaka,TM,2021-06-07 22:34:05,37.3482,59.6143,299.05,39,0,2.68
113,Nanakuli,US,2021-06-07 22:34:05,21.3906,-158.1547,304.12,45,75,6.68
114,Katete,UG,2021-06-07 22:34:06,-0.7818,29.7544,288.81,82,78,1.61
115,Coquimbo,CL,2021-06-07 22:34:06,-29.9533,-71.3436,286.0,87,0,0.12
116,Thurso,GB,2021-06-07 22:34:06,58.5927,-3.5259,284.29,87,73,1.08
117,Sibolga,ID,2021-06-07 22:34:07,1.7427,98.7792,297.38,84,96,1.31
118,At-Bashi,KG,2021-06-07 22:34:07,41.1702,75.8106,284.09,85,84,1.15
119,Awjilah,LY,2021-06-07 22:34:08,29.1081,21.2869,301.32,22,88,2.8
120,Merauke,ID,2021-06-07 22:34:08,-8.4667,140.3333,299.12,85,73,6.14
121,Ilhabela,BR,2021-06-07 22:34:08,-23.7781,-45.3581,294.48,91,93,1.89
122,Inyonga,TZ,2021-06-07 22:34:09,-6.7167,32.0667,292.16,60,89,2.6
123,Broome,US,2021-06-07 22:34:09,42.2506,-75.833,304.47,63,20,2.34
124,Mount Isa,AU,2021-06-07 22:31:02,-20.7333,139.5,287.02,51,10,0.0
125,Nikolskoye,RU,2021-06-07 22:34:10,59.7035,30.7861,289.09,92,9,2.07
126,Vao,NC,2021-06-07 22:34:10,-22.6667,167.4833,293.79,57,100,6.58
127,Anloga,GH,2021-06-07 22:34:11,5.7947,0.8973,300.27,76,72,4.12
128,Jamestown,US,2021-06-07 22:34:11,42.097,-79.2353,302.77,65,1,3.09
129,Hilo,US,2021-06-07 22:32:53,19.7297,-155.09,301.0,73,90,5.14
130,Nouadhibou,MR,2021-06-07 22:34:11,20.931,-17.0347,293.14,83,30,9.77
131,La Macarena,CO,2021-06-07 22:34:12,2.1837,-73.7849,296.56,97,69,0.33
132,Mtinko,TZ,2021-06-07 22:34:12,-4.55,34.85,288.07,78,22,5.56
133,Hobyo,SO,2021-06-07 22:34:13,5.3505,48.5268,298.7,88,12,11.52
134,Pangnirtung,CA,2021-06-07 22:34:13,66.1451,-65.7125,274.15,93,90,5.14
135,Avera,US,2021-06-07 22:34:14,33.194,-82.5271,297.18,87,100,3.67
136,San Pedro De Los Naranjos,MX,2021-06-07 22:34:14,20.25,-100.9833,305.81,20,100,4.87
137,Upernavik,GL,2021-06-07 22:34:15,72.7868,-56.1549,274.4,92,39,1.82
138,Carballo,ES,2021-06-07 22:34:15,43.213,-8.691,288.16,92,68,1.56
139,Carlsbad,US,2021-06-07 22:28:42,33.1581,-117.3506,296.36,79,90,1.34
140,Esperance,AU,2021-06-07 22:34:16,-33.8667,121.9,285.06,65,100,5.35
141,Soria,ES,2021-06-07 22:34:16,41.6667,-2.6667,288.07,69,7,1.93
142,Axim,GH,2021-06-07 22:34:16,4.8699,-2.2405,299.2,80,52,2.43
143,Busselton,AU,2021-06-07 22:34:17,-33.65,115.3333,283.75,81,83,4.76
144,Vila Velha,BR,2021-06-07 22:34:17,-20.3297,-40.2925,296.45,86,0,0.0
145,Akyab,MM,2021-06-07 22:34:18,20.15,92.9,301.05,81,100,1.81
146,Itarema,BR,2021-06-07 22:34:18,-2.9248,-39.9167,300.2,77,93,4.52
147,Ponta Do Sol,PT,2021-06-07 22:34:18,32.6667,-17.1,291.55,71,93,2.56
148,Lebu,CL,2021-06-07 22:34:19,-37.6167,-73.65,285.14,73,100,8.27
149,Ylivieska,FI,2021-06-07 22:34:19,64.0833,24.55,287.21,60,100,3.56
150,Emba,KZ,2021-06-07 22:34:20,48.8264,58.1442,291.3,52,56,2.34
151,Luanda,AO,2021-06-07 22:34:20,-8.8368,13.2343,298.15,83,20,4.12
152,Longyearbyen,SJ,2021-06-07 22:34:20,78.2186,15.6401,276.06,87,75,7.72
153,Vardo,NO,2021-06-07 22:33:50,70.3705,31.1107,280.56,80,100,1.72
154,Dubbo,AU,2021-06-07 22:34:21,-32.25,148.6167,278.22,93,97,2.57
155,Coueron,FR,2021-06-07 22:34:21,47.2151,-1.7217,290.9,80,0,2.18
156,Clyde River,CA,2021-06-07 22:34:22,70.4692,-68.5914,276.28,75,20,8.23
157,Yellowknife,CA,2021-06-07 22:33:02,62.456,-114.3525,280.44,76,90,1.79
158,Maniitsoq,GL,2021-06-07 22:34:22,65.4167,-52.9,278.23,83,65,3.5
159,Faanui,PF,2021-06-07 22:34:23,-16.4833,-151.75,300.06,76,59,5.64
160,Ust-Nera,RU,2021-06-07 22:34:23,64.5667,143.2,284.13,44,13,5.06
161,Luderitz,NA,2021-06-07 22:34:24,-26.6481,15.1594,289.07,78,39,4.43
162,Jumla,NP,2021-06-07 22:34:24,29.2747,82.1838,286.12,86,18,1.71
163,Batagay-Alyta,RU,2021-06-07 22:34:25,67.8006,130.4114,281.21,39,58,5.95
164,Lucea,JM,2021-06-07 22:34:25,18.451,-78.1736,303.07,80,96,5.18
165,Portland,US,2021-06-07 22:32:38,45.5234,-122.6762,293.31,43,75,0.45
166,Quelimane,MZ,2021-06-07 22:34:25,-17.8786,36.8883,290.81,95,71,2.02
167,Kodiak,US,2021-06-07 22:34:26,57.79,-152.4072,286.88,62,1,4.12
168,Arraial Do Cabo,BR,2021-06-07 22:34:26,-22.9661,-42.0278,296.07,88,0,1.54
169,Sao Lourenco Do Oeste,BR,2021-06-07 22:34:27,-26.3592,-52.8511,286.88,96,57,1.5
170,Manoharpur,IN,2021-06-07 22:34:27,27.3,75.95,304.68,34,6,6.05
171,Los Llanos De Aridane,ES,2021-06-07 22:34:27,28.6585,-17.9182,292.01,86,75,3.25
172,Airai,TL,2021-06-07 22:34:28,-8.9266,125.4092,288.36,69,74,1.09
173,Mar Del Plata,AR,2021-06-07 22:34:28,-38.0023,-57.5575,285.98,78,0,0.45
